Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes,IMDB Rating Scaled
The Protector,2005,53,56.399,Prachya Pinkaew,"Tony Jaa, Johnny Nguyen, Nathan Jones, Petchtai Wongkamlao",A young fighter (Tony Jaa) travels to Australia to retrieve stolen elephants that were promised originally to the king of...,829239.0,Sci-Fi,65.0,70.0,40.0,34406.0,650.0
Revenge,2017,93,99.774,Coralie Fargeat,"Matilda Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède",Jen is enjoying a romantic getaway with her wealthy boyfriend -- until his two sleazy friends arrive for an unannounced...,15535771.0,Drama,79.0,70.0,44.0,118804.0,790.0
El Mariachi,1992,91,96.211,Robert Rodriguez,"Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquardt",El Mariachi (Carlos Gallardo) is a traveling guitar player with the modest desire to play music for a living. Looking...,2041928.0,Thriller,68.0,73.0,81.0,66748.0,680.0
A Touch of Zen,1971,97,98.39,King Hu,"Feng Hsu, Chun Shih, Pai Ying, Roy Chiao","Ku Shen Chai (Chun Shih), an unmotivated artist in his early 30s, still lives with his mother, but he is...",69679794.5,Thriller,75.0,70.0,200.0,6267.0,750.0
Top Gun,1986,57,62.842,Tony Scott,"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilmer",The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying...,357469522.0,Drama,69.0,50.0,110.0,330744.0,690.0
Con Air,1997,55,57.658,Simon West,"Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi","Just-paroled army ranger Cameron Poe (Nicolas Cage) is headed back to his wife (Monica Potter), but must fly home aboard...",224117573.0,Thriller,69.0,52.0,115.0,294600.0,690.0
The Expendables 2,2012,67,72.409,Simon West,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren","Mercenary leader Barney Ross (Sylvester Stallone), Lee Christmas (Jason Statham) and the rest of the Expendables team reunite when Mr....",311979256.0,Thriller,66.0,51.0,103.0,304240.0,660.0
Mr. & Mrs. Smith,2005,60,68.277,Doug Liman,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody","John (Brad Pitt) and Jane Smith (Angelina Jolie), a couple in a stagnating marriage, live a deceptively mundane existence. However,...",69679794.5,Comedy,65.0,55.0,120.0,483782.0,650.0
Rush Hour,1998,60,63.438,Brett Ratner,"Jackie Chan, Chris Tucker, Tom Wilkinson, Elizabeth Peña","When a Chinese diplomat's daughter is kidnapped in Los Angeles, he calls in Hong Kong Detective Inspector Lee (Jackie Chan)...",245300000.0,Comedy,70.0,60.0,98.0,261427.0,700.0
The Equalizer,2014,60,67.731,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour","Robert McCall (Denzel Washington), a man of mysterious origin who believes he has put the past behind him, dedicates himself...",192903624.0,Drama,50.0,70.0,43.0,11786.0,500.0
Captain America: Civil War,2016,90,118.224,Anthony Russo,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",Political pressure mounts to install a system of accountability when the actions of the Avengers lead to collateral damage. The...,1151918521.0,Sci-Fi,78.0,75.0,147.0,754008.0,780.0
Air Force One,1997,78,80.164,Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson","After making a speech in Moscow vowing to never negotiate with terrorists, President James Marshall (Harrison Ford) boards Air Force...",315268353.0,Drama,65.0,61.0,124.0,193112.0,650.0
Bloodsport,1988,46,46.393,Newt Arnold,"Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton","U.S. soldier Frank Dux (Jean-Claude Van Damme) has come to Hong Kong to be accepted into the Kumite, a highly...",11806119.0,Drama,68.0,29.0,92.0,83888.0,680.0
Blade,1998,57,62.5,Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright","A half-mortal, half-immortal is out to avenge his mother's death and rid the world of vampires. The modern-day technologically advanced...",131237688.0,Horror,71.0,47.0,120.0,267299.0,710.0
Bad Boys,1995,42,45.945,Michael Bay,"Martin Lawrence, Will Smith, Tea Leoni, Tcheky Karyo",Miami-Dade detectives Mike Lowrey (Will Smith) and Marcus Burnett (Martin Lawrence) blow a fuse when $100 million worth of heroin...,141247413.0,Comedy,68.0,41.0,119.0,259833.0,680.0
The Running Man,1987,66,67.91,Paul Michael Glaser,"Arnold Schwarzenegger, Maria Conchita Alonso, Richard Dawson, Yaphet Kotto","In the year 2019, America is a totalitarian state where the favorite television program is ""The Running Man"" -- a...",38122000.0,Sci-Fi,66.0,45.0,101.0,151028.0,660.0
Code of Silence,1985,70,70.817,Andrew Davis,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese","In Chicago, honor-driven Sgt. Eddie Cusack (Chuck Norris) and his team stake out a drug exchange involving notorious drug czar...",20345361.0,Thriller,60.0,64.0,101.0,8001.0,600.0
Shoot 'Em Up,2007,67,72.957,Michael Davis,"Clive Owen, Paul Giamatti, Monica Bellucci, Daniel Pilon","After saving a newborn infant from assassins, carrot-crunching gunman Mr. Smith (Clive Owen) teams up with a prostitute named DQ...",26796824.0,Comedy,66.0,49.0,86.0,149687.0,660.0
Crank,2006,61,64.692,Mark Neveldine,"Jason Statham, Amy Smart, Jose Pablo Cantillo, Efren Ramirez","Chev Chelios (Jason Statham), a hit man wanting to go straight, lets his latest target slip away, then he awakes...",43924923.0,Thriller,69.0,57.0,88.0,246873.0,690.0
Machete,2010,72,79.675,Robert Rodriguez,"Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal","After nearly being killed during a violent fight with a powerful drug lord, a former Mexican Federale known as Machete...",46370970.0,Thriller,66.0,60.0,105.0,196499.0,660.0
Drive,2011,93,103.379,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks","Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior,...",81357930.0,Drama,78.0,78.0,100.0,618214.0,780.0
Batman,1989,72,78.034,Tim Burton,"Jack Nicholson, Michael Keaton, Kim Basinger, Robert Wuhl","Having witnessed his parents' brutal murder as a child, millionaire philanthropist Bruce Wayne (Michael Keaton) fights crime in Gotham City...",411348924.0,Comedy,75.0,70.0,25.0,22004.0,750.0
Under Siege,1992,79,80.827,Andrew Davis,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak","A heroic loner takes on a group of nuclear terrorists in this seagoing tale. Posing as a rock band, the...",156563139.0,Thriller,65.0,58.0,103.0,85662.0,650.0
Independence Day,1996,67,70.529,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell","In the epic adventure film ""Independence Day,"" strange phenomena surface around the globe. The skies ignite. Terror races through the...",817400878.0,Adventure,70.0,59.0,145.0,563005.0,700.0
Bullitt,1968,98,101.562,Peter Yates,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon",Senator Walter Chalmers (Robert Vaughn) is aiming to take down mob boss Pete Ross (Vic Tayback) with the help of...,42300945.0,Thriller,74.0,81.0,114.0,67986.0,740.0
Wanted,2008,71,79.843,Timur Bekmambetov,"James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp","Wesley Gibson (James McAvoy) is an office worker whose life is going nowhere. After his estranged father is murdered, he...",342416460.0,Drama,76.0,70.0,60.0,5819.0,760.0
Ronin,1998,69,71.255,John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgard","Deirdre (Natascha McElhone) puts together a team of experts that she tasks with stealing a valuable briefcase, the contents of...",70692101.0,Thriller,72.0,67.0,122.0,181993.0,720.0
They Live,1988,85,88.306,John Carpenter,"Roddy Piper, Keith David, Meg Foster, George ""Buck"" Flower","Nada (Roddy Piper), a wanderer without meaning in his life, discovers a pair of sunglasses capable of showing the world...",13000774.0,Horror,72.0,55.0,94.0,126296.0,720.0
Cliffhanger,1993,67,71.229,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner",Outdoor thriller in which a former mountain rescuer is pitted against a group of criminals who have lost their $100...,255000000.0,Adventure,65.0,60.0,113.0,128308.0,650.0
The Warriors,1979,87,90.637,Walter Hill,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler",A turf battle between New York City street gangs that rages from Coney Island to the Bronx. The Warriors are...,22490943.0,Thriller,76.0,65.0,93.0,101233.0,760.0
Starship Troopers,1997,66,69.799,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey","In the distant future, the Earth is at war with a race of giant alien insects. Little is known about...",121100000.0,Sci-Fi,73.0,51.0,129.0,289366.0,730.0
Point Break,1991,69,72.735,Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty","After a string of bizarre bank robberies in Southern California, with the crooks donning masks of various former presidents, a...",126704591.0,Thriller,72.0,58.0,122.0,177599.0,720.0
The Long Kiss Goodnight,1996,68,68.48,Renny Harlin,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko",Schoolteacher and single mother Samantha Caine (Geena Davis) lives an average suburban life -- until she begins having strange memories...,33447612.0,Drama,68.0,44.0,121.0,79093.0,680.0
The Guest,2014,92,95.545,Adam Wingard,"Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley",A string of mysterious deaths leads a teenager to become suspicious of a soldier (Dan Stevens) who showed up on...,2107051.0,Thriller,67.0,76.0,100.0,99145.0,670.0
Taken,2008,59,65.409,Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser","Bryan Mills (Liam Neeson), a former government operative, is trying to reconnect with his daughter, Kim (Maggie Grace). Then his...",226941585.0,Drama,65.0,70.0,41.0,10701.0,650.0
300,2006,61,70.688,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West","In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the...",454161935.0,Drama,76.0,52.0,117.0,802949.0,760.0
True Lies,1994,69,71.906,James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton","Secretly a spy but thought by his family to be a dull salesman, Harry Tasker (Arnold Schwarzenegger) is tracking down...",365300000.0,Comedy,73.0,63.0,141.0,253697.0,730.0
Demolition Man,1993,62,61.802,Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne","With innocent victims caught in the crossfire in Los Angeles' intensifying war on crime, both cop John Spartan (Sylvester Stallone)...",159055768.0,Sci-Fi,67.0,34.0,115.0,172680.0,670.0
Hardcore Henry,2015,51,60.174,Ilya Naishuller,"Sharlto Copley, Danila Kozlovsky, Haley Bennett, Dasha Charusha",A man wakes up in a Moscow laboratory to learn that he's been brought back from the dead as a...,17187434.0,Sci-Fi,67.0,51.0,96.0,94053.0,670.0
Police Story,1985,93,92.135,Jackie Chan,"Jackie Chan, Brigitte Lin, Maggie Cheung, Bill Tung",A kung-fu policeman (Jackie Chan) must protect a female witness (Brigitte Lin) from a Hong Kong drug lord for whom...,69679794.5,Comedy,75.0,78.0,100.0,35498.0,750.0
Brotherhood of the Wolf,2001,73,76.856,Christophe Gans,"Samuel Le Bihan, Mark Dacascos, Émilie Dequenne, Vincent Cassel","In a rural province of France, a mysterious creature is laying waste to the countryside, savagely killing scores of women...",69679794.5,Drama,70.0,57.0,142.0,66216.0,700.0
Kingsman: The Secret Service,2014,75,85.097,Matthew Vaughn,"Colin Firth, Michael Caine, Taron Egerton, Samuel L. Jackson","Gary ""Eggsy"" Unwin (Taron Egerton), whose late father secretly worked for a spy organization, lives in a South London housing...",404561724.0,Comedy,77.0,60.0,129.0,652323.0,770.0
The Fifth Element,1997,70,73.729,Luc Besson,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich","In the 23rd century, a New York City cabbie, Korben Dallas (Bruce Willis), finds the fate of the world in...",263893838.0,Sci-Fi,76.0,52.0,126.0,463853.0,760.0
Atomic Blonde,2017,79,106.387,David Leitch,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman","Sensual and savage, Lorraine Broughton is the most elite spy in MI6, an agent who's willing to use all of...",98345423.0,Thriller,67.0,63.0,115.0,189851.0,670.0
Rumble in the Bronx,1995,80,80.316,Stanley Tong,"Jackie Chan, Anita Mui, Bill Tung, Françoise Yip","Hong Kong policeman Keung (Jackie Chan) arrives in New York for the wedding of his uncle Bill (Bill Tung), a...",36238752.0,Comedy,67.0,61.0,87.0,41961.0,670.0
District B13,2004,80,84.67,Pierre Morel,"Cyril Raffaelli, David Belle, Tony D'Amario, Larbi Naceri","In 21st-century Paris, a member (Cyril Raffaelli) of an elite police squad must enter a crime-ridden ghetto to defuse a...",69679794.5,Sci-Fi,71.0,70.0,84.0,69760.0,710.0
Ong-Bak: The Thai Warrior,2003,85,89.258,Prachya Pinkaew,"Tony Jaa, Pumwaree Yodkamol, Petchtai Wongkamlao, Suchao Pongwilai","In Thailand, the impoverished village of Ban Nong Pradu has its most precious Buddha statue stolen from the temple. Luckily...",69679794.5,Thriller,71.0,69.0,105.0,74221.0,710.0
Collateral,2004,86,95.903,Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo",A cab driver realizes his current fare is a hit man that has been having him drive around from mark...,217602967.0,Drama,75.0,71.0,120.0,390124.0,750.0
Battle Royale,2000,88,88.058,Kinji Fukasaku,"Tatsuya Fujiwara, Aki Maeda, Taro Yamamoto, Masanobu Andô","42 9th graders are sent to a deserted island. They are given a map, food, and various weapons. An explosive...",69679794.5,Drama,76.0,81.0,114.0,180707.0,760.0
13 Assassins,2010,95,100.007,Takashi Miike,"Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki","In this remake of a 1963 film based on historical events, Shinzaemon Shimada leads a team of assassins in 19th-century...",69679794.5,Adventure,75.0,84.0,141.0,65066.0,750.0
A Better Tomorrow,1986,93,92.52,John Woo,"Ti Lung, Chow Yun-Fat, Leslie Cheung, Emily Chu",A Hong Kong policeman (Leslie Cheung) blames his reformed-gangster brother (Chow Yun-Fat) for the death of their father....,69679794.5,Thriller,74.0,78.0,95.0,22736.0,740.0
Iron Man,2008,94,105.234,Jon Favreau,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges","A billionaire industrialist and genius inventor, Tony Stark (Robert Downey Jr.), is conducting weapons tests overseas, but terrorists kidnap him...",585171547.0,Sci-Fi,79.0,79.0,126.0,1027013.0,790.0
The Night Comes for Us,2018,91,91.145,Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang","Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family....",69679794.5,Thriller,69.0,69.0,121.0,25557.0,690.0
Logan,2017,94,126.287,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant","In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote...",614202315.0,Drama,81.0,77.0,137.0,729509.0,810.0
Goldfinger,1964,99,103.828,Guy Hamilton,"Sean Connery, Gert Frobe, Honor Blackman, Shirley Eaton","Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and...",124900000.0,Thriller,77.0,87.0,110.0,187176.0,770.0
Assault on Precinct 13,1976,95,98.805,John Carpenter,"Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West","When the LAPD kills several members of the South Central gang Street Thunder, the remaining members avenge themselves by way...",69679794.5,Horror,73.0,89.0,91.0,49472.0,730.0
Wonder Woman,2017,93,129.061,Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright","Before she was Wonder Woman (Gal Gadot), she was Diana, princess of the Amazons, trained to be an unconquerable warrior....",818058221.0,Sci-Fi,74.0,76.0,141.0,637712.0,740.0
Captain America: The Winter Soldier,2014,90,102.765,Anthony Russo,"Chris Evans, Scarlett Johansson, Samuel L. Jackson, Sebastian Stan","After the cataclysmic events in New York with his fellow Avengers, Steve Rogers, aka Captain America (Chris Evans), lives in...",714401889.0,Sci-Fi,78.0,70.0,136.0,816491.0,780.0
Oldboy,2003,81,87.284,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han","Dae-Su is an obnoxious drunk bailed from the police station yet again by a friend. However, he's abducted from the...",6226386.0,Drama,84.0,77.0,101.0,561949.0,840.0
The French Connection,1971,97,105.251,William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco","New York Detective ""Popeye"" Doyle (Gene Hackman) and his partner (Roy Scheider) chase a French heroin smuggler....",41159423.0,Drama,77.0,94.0,104.0,120723.0,770.0
Furious 7,2015,82,92.738,James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez","After defeating international terrorist Owen Shaw, Dominic Toretto (Vin Diesel), Brian O'Conner (Paul Walker) and the rest of the crew...",1516881526.0,Thriller,71.0,67.0,137.0,383825.0,710.0
La Femme Nikita,1990,89,90.856,Luc Besson,"Anne Parillaud, Jean-Hugues Anglade, Tcheky Karyo, Jeanne Moreau","Convicted felon Nikita (Anne Parillaud), instead of going to jail, is given a new identity and trained to be a...",69679794.5,Drama,74.0,70.0,60.0,9830.0,740.0
Supercop,1992,96,98.779,Stanley Tong,"Jackie Chan, Michelle Yeaoh, Maggie Cheung, Ken Tsang","To infiltrate a drug cartel, police Inspector Chan Ka Kui (Jackie Chan) goes undercover in a Chinese prison. There, he...",16270600.0,Comedy,69.0,70.0,91.0,21258.0,690.0
Dirty Harry,1971,88,91.759,Don Siegel,"Clint Eastwood, Harry Guardino, Reni Santoni, John Larch",Cop Harry Callahan (Clint Eastwood) attempts to track down a psychopathic rooftop killer before a kidnapped girl dies. When he...,28153434.0,Thriller,77.0,87.0,102.0,153775.0,770.0
Edge of Tomorrow,2014,91,104.772,Doug Liman,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton","When Earth falls under attack from invincible aliens, no military unit in the world is able to beat them. Maj....",367028980.0,Sci-Fi,79.0,71.0,113.0,656178.0,790.0
The Fugitive,1993,96,102.607,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore","Wrongfully accused of murdering his wife, Richard Kimble (Harrison Ford) escapes from the law in an attempt to find her...",353715317.0,Drama,78.0,87.0,130.0,288717.0,780.0
Black Panther,2018,96,129.316,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place...",1336494321.0,Sci-Fi,73.0,88.0,134.0,721672.0,730.0
Inception,2010,87,101.215,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",Dom Cobb (Leonardo DiCaprio) is a thief with the rare ability to enter people's dreams and steal their secrets from...,728582465.0,Sci-Fi,88.0,74.0,148.0,2269649.0,880.0
Braveheart,1995,76,81.564,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack",Tells the story of the legendary thirteenth century Scottish hero named William Wallace (Mel Gibson). Wallace rallies the Scottish against...,209045244.0,Drama,84.0,68.0,178.0,1016911.0,840.0
Minority Report,2002,90,97.988,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow","Based on a story by famed science fiction writer Philip K. Dick, ""Minority Report"" is an action-detective thriller set in...",358824714.0,Sci-Fi,77.0,80.0,145.0,540079.0,770.0
Avengers: Endgame,2019,94,128.391,Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply...",2797800564.0,Drama,84.0,78.0,181.0,1051097.0,840.0
Dredd,2012,79,86.265,Pete Travis,"Karl Urban, Olivia Thirlby, Lena Headey, Wood Harris","Mega City One is a vast, violent metropolis where felons rule the streets. The only law lies with cops called...",41467606.0,Sci-Fi,71.0,60.0,95.0,269960.0,710.0
The Bourne Identity,2002,84,89.619,Doug Liman,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen","The story of a man (Matt Damon), salvaged, near death, from the ocean by an Italian fishing boat. When he...",214357371.0,Thriller,79.0,68.0,119.0,538376.0,790.0
Ip Man,2008,86,85.33,Wilson Yip,"Donnie Yen, Simon Yam, Siu-wong Fan, Ka Tung Lam","The life story of Yip Man, the first person to teach the Chinese martial art of Wing Chun....",22114423.0,Drama,80.0,59.0,106.0,221414.0,800.0
Face/Off,1997,92,96.14,John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola","Obsessed with bringing terrorist Castor Troy (Nicolas Cage) to justice, FBI agent Sean Archer (John Travolta) tracks down Troy, who...",241200000.0,Sci-Fi,73.0,82.0,138.0,370301.0,730.0
To Live and Die in L.A.,1985,85,87.178,William Friedkin,"William L. Petersen, Willem Dafoe, John Pankow, Debra Feuer","When his longtime partner on the force is killed, reckless U.S. Secret Service agent Richard Chance (William L. Petersen) vows...",17307019.0,Drama,73.0,81.0,116.0,33190.0,730.0
The Dark Knight,2008,94,108.295,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","With the help of allies Lt. Jim Gordon (Gary Oldman) and DA Harvey Dent (Aaron Eckhart), Batman (Christian Bale) has...",998615789.0,Drama,90.0,84.0,152.0,2556835.0,900.0
Fast Five,2011,77,85.281,Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson",Ever since ex-cop Brian O'Conner (Paul Walker) and Mia Torretto (Jordana Brewster) broke her brother Dom (Vin Diesel) out of...,630163454.0,Thriller,73.0,66.0,130.0,375390.0,730.0
Lethal Weapon,1987,80,83.824,Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan","Following the death of his wife, Los Angeles police detective Martin Riggs (Mel Gibson) becomes reckless and suicidal. When he...",120192350.0,Comedy,78.0,70.0,44.0,37688.0,780.0
The Rock,1996,68,70.818,Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn","FBI chemical warfare expert Stanley Goodspeed (Nicolas Cage) is sent on an urgent mission with a former British spy, John...",336069511.0,Thriller,74.0,58.0,136.0,333073.0,740.0
RoboCop,1987,90,95.419,Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Daniel O'Herlihy","In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the...",242981799.0,Sci-Fi,76.0,67.0,102.0,252581.0,760.0
John Wick: Chapter 2,2017,89,109.323,Chad Stahelski,"Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio",Retired super-assassin John Wick's plans to resume a quiet civilian life are cut short when Italian gangster Santino D'Antonio shows...,69679794.5,Thriller,74.0,75.0,122.0,414765.0,740.0
Casino Royale,2006,94,105.806,Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench","After receiving a license to kill, British Secret Service agent James Bond (Daniel Craig) heads to Madagascar, where he uncovers...",594420283.0,Comedy,50.0,48.0,131.0,29875.0,500.0
Baby Driver,2017,92,122.963,Edgar Wright,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal",Talented getaway driver Baby (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in the...,227250102.0,Drama,76.0,86.0,113.0,512320.0,760.0
The Raid 2,2014,82,88.389,Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara","After surviving a bloody fight with powerful gangsters, rookie Jakarta cop Rama (Iko Uwais) thinks he can resume a normal...",69679794.5,Thriller,79.0,71.0,150.0,121696.0,790.0
Enter the Dragon,1973,95,98.841,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri",Bruce Lee plays a martial-arts expert determined to help capture the narcotics dealer whose gang was responsible for the death...,21485066.0,Drama,76.0,83.0,102.0,103285.0,760.0
Commando,1985,69,70.179,Mark L. Lester,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells","Retired Special Forces soldier John Matrix (Arnold Schwarzenegger) lives with daughter Jenny (Alyssa Milano) in isolation, but his privacy is...",35078864.0,Thriller,67.0,51.0,90.0,158053.0,670.0
First Blood,1982,87,87.117,Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso",Vietnam veteran and drifter John J. Rambo (Sylvester Stallone) wanders into a small Washington town in search of an old...,125212904.0,Thriller,77.0,61.0,93.0,246052.0,770.0
The Terminator,1984,100,104.615,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield","Disguised as a human, a cyborg assassin known as a Terminator (Arnold Schwarzenegger) travels from 2029 to 1984 to kill...",78019031.0,Sci-Fi,81.0,84.0,107.0,842030.0,810.0
Gladiator,2000,78,84.793,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed","Commodus (Joaquin Phoenix) takes power and strips rank from Maximus (Russell Crowe), one of the favored generals of his predecessor...",456435588.0,Drama,85.0,67.0,155.0,1453863.0,850.0
Kill Bill: Vol. 1,2003,85,92.962,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen","A former assassin, known simply as The Bride (Uma Thurman), wakes from a coma four years after her jealous ex-lover...",69679794.5,Drama,82.0,69.0,111.0,1083984.0,820.0
The Professional,1994,73,76.807,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello","Mathilda (Natalie Portman) is only 12 years old, but is already familiar with the dark side of life: her abusive...",69679794.5,Thriller,74.0,70.0,108.0,15389.0,740.0
Speed,1994,94,98.334,Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton",Los Angeles police officer Jack (Keanu Reeves) angers retired bomb squad member Howard Payne (Dennis Hopper) by foiling his attempt...,283200000.0,Thriller,73.0,78.0,116.0,356055.0,730.0
John Wick,2014,86,95.498,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",Legendary assassin John Wick (Keanu Reeves) retired from his violent career after marrying the love of his life. Her sudden...,76010510.0,Thriller,74.0,68.0,101.0,606041.0,740.0
"Crouching Tiger, Hidden Dragon",2000,97,102.82,Ang Lee,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chen Chang","In 19th century Qing Dynasty China, a warrior (Chow Yun-Fat) gives his sword, Green Destiny, to his lover (Michelle Yeoh)...",213514672.0,Adventure,79.0,94.0,120.0,265710.0,790.0
Predator,1987,80,82.798,John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Elpidia Carrillo","Dutch (Arnold Schwarzenegger), a soldier of fortune, is hired by the U.S. government to secretly rescue a group of politicians...",98267558.0,Sci-Fi,78.0,45.0,107.0,399972.0,780.0
The Bourne Ultimatum,2007,92,103.329,Paul Greengrass,"Matt Damon, Julia Stiles, Joan Allen, David Strathairn",Jason Bourne (Matt Damon) continues his international quest to uncover his true identity. From Russia to Europe to northern Africa...,444043396.0,Thriller,80.0,85.0,115.0,627503.0,800.0
Total Recall,1990,82,87.033,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox",Douglas Quaid (Arnold Schwarzenegger) is a bored construction worker in the year 2084 who dreams of visiting the colonized Mars....,261399830.0,Sci-Fi,75.0,57.0,113.0,323899.0,750.0
Heat,1995,88,92.8,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight","Master criminal Neil McCauley (Robert De Niro) is trying to control the rogue actions of one of his men, while...",187433328.0,Drama,83.0,76.0,170.0,633949.0,830.0
